timestamp,count,detections
1756888403.275018,12,"[{'bbox': [[248.07229614257812, 220.3387451171875, 882.936279296875, 712.2447509765625]], 'confidence': 0.9462880492210388, 'class': 0}, {'bbox': [[1056.8671875, 574.180908203125, 1145.76806640625, 718.807861328125]], 'confidence': 0.7902129292488098, 'class': 0}, {'bbox': [[1090.41845703125, 643.213623046875, 1160.94775390625, 719.855712890625]], 'confidence': 0.5756467580795288, 'class': 56}]"
1756888403.4784892,13,"[{'bbox': [[236.2047119140625, 225.1145782470703, 871.7464599609375, 711.3234252929688]], 'confidence': 0.9490548968315125, 'class': 0}, {'bbox': [[1056.474609375, 574.8076171875, 1145.54248046875, 717.72998046875]], 'confidence': 0.7799518704414368, 'class': 0}, {'bbox': [[1098.423828125, 643.830078125, 1161.006591796875, 719.74609375]], 'confidence': 0.6365880370140076, 'class': 56}]"
1756888403.67688,14,"[{'bbox': [[269.303466796875, 223.85198974609375, 856.01513671875, 711.4052734375]], 'confidence': 0.9568815231323242, 'class': 0}, {'bbox': [[1056.01318359375, 574.4019775390625, 1145.3212890625, 717.9185791015625]], 'confidence': 0.7562883496284485, 'class': 0}]"
1756888403.878761,15,"[{'bbox': [[271.2529602050781, 217.65740966796875, 856.9501953125, 711.5504150390625]], 'confidence': 0.9557392001152039, 'class': 0}, {'bbox': [[1056.4632568359375, 573.79345703125, 1145.1466064453125, 718.82275390625]], 'confidence': 0.7646112442016602, 'class': 0}]"
1756888404.075854,16,"[{'bbox': [[248.9083251953125, 203.78492736816406, 840.8394775390625, 711.407958984375]], 'confidence': 0.9483495354652405, 'class': 0}, {'bbox': [[1056.405517578125, 574.5242919921875, 1145.472900390625, 718.0816650390625]], 'confidence': 0.772998034954071, 'class': 0}, {'bbox': [[1096.0938720703125, 643.562255859375, 1160.9154052734375, 719.888427734375]], 'confidence': 0.5390881299972534, 'class': 56}]"
1756888404.2757828,17,"[{'bbox': [[201.18768310546875, 201.6470947265625, 807.6635131835938, 711.749267578125]], 'confidence': 0.9526728391647339, 'class': 0}, {'bbox': [[1056.765625, 574.576904296875, 1145.33251953125, 716.4862060546875]], 'confidence': 0.7612764239311218, 'class': 0}, {'bbox': [[9.11810302734375, 668.0845947265625, 226.37774658203125, 717.8743896484375]], 'confidence': 0.6181705594062805, 'class': 56}, {'bbox': [[1087.9339599609375, 643.7628784179688, 1161.2564697265625, 719.9708862304688]], 'confidence': 0.5841611623764038, 'class': 56}, {'bbox': [[759.6539916992188, 601.5571899414062, 876.0975952148438, 684.3253784179688]], 'confidence': 0.5200861692428589, 'class': 62}]"
1756888404.4794931,18,"[{'bbox': [[173.22674560546875, 211.75892639160156, 775.6931762695312, 711.139404296875]], 'confidence': 0.9540950655937195, 'class': 0}, {'bbox': [[1056.37939453125, 574.83154296875, 1145.882080078125, 717.70947265625]], 'confidence': 0.8043915033340454, 'class': 0}, {'bbox': [[756.9385986328125, 601.5052490234375, 875.1517333984375, 685.7061767578125]], 'confidence': 0.721953809261322, 'class': 62}, {'bbox': [[9.5050048828125, 669.695068359375, 200.15155029296875, 718.425048828125]], 'confidence': 0.6178363561630249, 'class': 56}]"
1756888404.680397,19,"[{'bbox': [[170.808349609375, 209.3719024658203, 773.626953125, 711.4976196289062]], 'confidence': 0.9551600217819214, 'class': 0}, {'bbox': [[1056.2506103515625, 574.4844970703125, 1145.5838623046875, 717.0394287109375]], 'confidence': 0.7814469337463379, 'class': 0}, {'bbox': [[756.8770751953125, 601.896484375, 875.2027587890625, 685.61865234375]], 'confidence': 0.7428692579269409, 'class': 62}, {'bbox': [[4.81671142578125, 670.1802978515625, 195.94744873046875, 717.8966064453125]], 'confidence': 0.5629066824913025, 'class': 56}]"
1756888404.8781362,20,"[{'bbox': [[175.90985107421875, 185.0562744140625, 803.0701904296875, 711.670166015625]], 'confidence': 0.9579933285713196, 'class': 0}, {'bbox': [[1055.79931640625, 574.6328125, 1145.07177734375, 718.1201171875]], 'confidence': 0.7797690629959106, 'class': 0}, {'bbox': [[3.03167724609375, 669.8021240234375, 199.38241577148438, 717.7581787109375]], 'confidence': 0.6019311547279358, 'class': 56}, {'bbox': [[1097.267578125, 643.7125854492188, 1160.990234375, 720.0]], 'confidence': 0.5463361740112305, 'class': 56}, {'bbox': [[759.6807250976562, 601.787353515625, 874.5399780273438, 684.27734375]], 'confidence': 0.537824273109436, 'class': 62}]"
1756888405.076392,21,"[{'bbox': [[181.93310546875, 138.58612060546875, 906.9525146484375, 712.5142822265625]], 'confidence': 0.946871280670166, 'class': 0}, {'bbox': [[1056.41943359375, 574.2166748046875, 1145.21923828125, 717.1783447265625]], 'confidence': 0.7946376204490662, 'class': 0}, {'bbox': [[21.635284423828125, 667.154052734375, 211.59454345703125, 718.075927734375]], 'confidence': 0.635180652141571, 'class': 56}, {'bbox': [[1090.53955078125, 643.5113525390625, 1161.10986328125, 719.9315185546875]], 'confidence': 0.5210065841674805, 'class': 56}]"
1756888405.322102,22,"[{'bbox': [[184.17169189453125, 97.9344482421875, 1007.7766723632812, 711.17529296875]], 'confidence': 0.9552021026611328, 'class': 0}, {'bbox': [[1056.4976806640625, 574.7227172851562, 1144.2845458984375, 716.9386596679688]], 'confidence': 0.7328314185142517, 'class': 0}]"
1756888405.542572,23,"[{'bbox': [[172.767333984375, 58.3233642578125, 1028.844482421875, 711.00830078125]], 'confidence': 0.9611526727676392, 'class': 0}, {'bbox': [[1055.8092041015625, 574.31787109375, 1146.0247802734375, 718.742919921875]], 'confidence': 0.7229190468788147, 'class': 0}, {'bbox': [[108.57011413574219, 665.5966186523438, 208.2588653564453, 718.7626342773438]], 'confidence': 0.6346214413642883, 'class': 56}]"
1756888405.743735,24,"[{'bbox': [[179.40283203125, 56.953369140625, 1034.2115478515625, 710.9102783203125]], 'confidence': 0.9612206220626831, 'class': 0}, {'bbox': [[1055.647216796875, 573.4417724609375, 1145.174072265625, 716.939208984375]], 'confidence': 0.7713373899459839, 'class': 0}, {'bbox': [[121.25740814208984, 665.9434204101562, 214.73452758789062, 719.1519165039062]], 'confidence': 0.5089377164840698, 'class': 56}]"
1756888405.948056,25,"[{'bbox': [[203.2559814453125, 82.8106689453125, 1032.296142578125, 711.2703857421875]], 'confidence': 0.9550479054450989, 'class': 0}, {'bbox': [[1054.97265625, 573.9179077148438, 1144.85693359375, 717.5532836914062]], 'confidence': 0.7550111413002014, 'class': 0}]"
1756888406.145323,26,"[{'bbox': [[227.8946533203125, 106.6329345703125, 1034.594482421875, 710.6781005859375]], 'confidence': 0.9571297764778137, 'class': 0}, {'bbox': [[1055.1435546875, 573.9503173828125, 1144.74072265625, 716.8104248046875]], 'confidence': 0.7640056610107422, 'class': 0}, {'bbox': [[127.33051300048828, 666.14892578125, 263.76025390625, 718.652099609375]], 'confidence': 0.6589727997779846, 'class': 56}, {'bbox': [[1096.9404296875, 642.9988403320312, 1160.74365234375, 719.8838500976562]], 'confidence': 0.5309287905693054, 'class': 56}]"
1756888406.344341,27,"[{'bbox': [[224.5794677734375, 122.04998779296875, 1022.6654052734375, 710.9917602539062]], 'confidence': 0.9552586078643799, 'class': 0}, {'bbox': [[1055.54736328125, 573.3965454101562, 1145.2666015625, 719.1364135742188]], 'confidence': 0.7301622033119202, 'class': 0}, {'bbox': [[116.58880615234375, 665.8859252929688, 259.97589111328125, 718.9951782226562]], 'confidence': 0.6166276931762695, 'class': 56}]"
1756888406.544333,28,"[{'bbox': [[204.1002197265625, 115.96417236328125, 1018.17138671875, 711.1432495117188]], 'confidence': 0.9549893140792847, 'class': 0}, {'bbox': [[1055.8994140625, 574.0700073242188, 1144.9912109375, 717.1906127929688]], 'confidence': 0.8055049180984497, 'class': 0}, {'bbox': [[1098.561279296875, 643.171630859375, 1160.935302734375, 719.587890625]], 'confidence': 0.5350948572158813, 'class': 56}, {'bbox': [[114.66244506835938, 665.7196655273438, 238.42507934570312, 718.8689575195312]], 'confidence': 0.5075654983520508, 'class': 56}]"
1756888406.74352,29,"[{'bbox': [[171.3345947265625, 105.63043212890625, 997.7042236328125, 711.0968627929688]], 'confidence': 0.9622474908828735, 'class': 0}, {'bbox': [[1056.1044921875, 573.7611083984375, 1144.5986328125, 716.3380126953125]], 'confidence': 0.7783392667770386, 'class': 0}, {'bbox': [[115.50447845458984, 666.2902221679688, 205.53274536132812, 718.9684448242188]], 'confidence': 0.5351776480674744, 'class': 56}]"
1756888406.949314,30,"[{'bbox': [[116.6170654296875, 91.5960693359375, 970.6519775390625, 710.7688598632812]], 'confidence': 0.966482937335968, 'class': 0}, {'bbox': [[1055.675537109375, 574.2669677734375, 1145.060791015625, 718.3909912109375]], 'confidence': 0.7971656322479248, 'class': 0}, {'bbox': [[1103.4970703125, 643.760009765625, 1161.404541015625, 719.3603515625]], 'confidence': 0.5113410949707031, 'class': 56}]"
1756888407.1765509,31,"[{'bbox': [[2.79180908203125, 59.53228759765625, 958.9618530273438, 710.9700927734375]], 'confidence': 0.9629894495010376, 'class': 0}, {'bbox': [[1055.138671875, 573.2932739257812, 1145.2021484375, 718.6146850585938]], 'confidence': 0.7837583422660828, 'class': 0}]"
1756888407.4341,32,"[{'bbox': [[0.0, 19.01824951171875, 955.378662109375, 709.9053955078125]], 'confidence': 0.9648155570030212, 'class': 0}, {'bbox': [[1055.088134765625, 573.073974609375, 1145.410400390625, 718.064453125]], 'confidence': 0.7761796116828918, 'class': 0}]"
1756888407.643007,33,"[{'bbox': [[1.3446044921875, 2.9127197265625, 964.97705078125, 711.1240234375]], 'confidence': 0.968559980392456, 'class': 0}, {'bbox': [[1055.428955078125, 573.3994140625, 1145.755126953125, 717.196044921875]], 'confidence': 0.7527926564216614, 'class': 0}]"
1756888407.850419,34,"[{'bbox': [[1.08465576171875, 2.67938232421875, 970.353271484375, 711.141845703125]], 'confidence': 0.9683865904808044, 'class': 0}, {'bbox': [[1055.10546875, 573.352783203125, 1144.87158203125, 717.03076171875]], 'confidence': 0.7968165278434753, 'class': 0}, {'bbox': [[1095.82763671875, 642.7242431640625, 1161.2294921875, 719.8289794921875]], 'confidence': 0.5623317956924438, 'class': 56}]"
1756888408.0774012,35,"[{'bbox': [[1.2418212890625, 3.533203125, 971.54931640625, 710.9798583984375]], 'confidence': 0.9656256437301636, 'class': 0}, {'bbox': [[1055.233642578125, 572.693603515625, 1144.61328125, 716.97998046875]], 'confidence': 0.792448878288269, 'class': 0}, {'bbox': [[1099.011962890625, 642.9102783203125, 1161.283447265625, 719.3095703125]], 'confidence': 0.5488236546516418, 'class': 56}]"
1756888408.2781389,36,"[{'bbox': [[1.08282470703125, 3.5028076171875, 957.8214111328125, 711.0003662109375]], 'confidence': 0.9658357501029968, 'class': 0}, {'bbox': [[1055.07958984375, 572.7666625976562, 1145.32568359375, 716.5187377929688]], 'confidence': 0.784353494644165, 'class': 0}, {'bbox': [[1088.495849609375, 643.2652587890625, 1161.67138671875, 719.2896728515625]], 'confidence': 0.6118152737617493, 'class': 56}]"
1756888408.478629,37,"[{'bbox': [[2.2762451171875, 10.5697021484375, 927.3948974609375, 711.2900390625]], 'confidence': 0.9596200585365295, 'class': 0}, {'bbox': [[1055.49755859375, 573.5983276367188, 1145.12890625, 716.4624633789062]], 'confidence': 0.7728258967399597, 'class': 0}, {'bbox': [[1089.361083984375, 642.4437255859375, 1160.961669921875, 719.7738037109375]], 'confidence': 0.5220081806182861, 'class': 56}]"
1756888408.676429,38,"[{'bbox': [[1.4200439453125, 42.91046142578125, 897.660888671875, 710.9627685546875]], 'confidence': 0.9597380757331848, 'class': 0}, {'bbox': [[1056.8160400390625, 573.35498046875, 1145.1697998046875, 717.213134765625]], 'confidence': 0.807206928730011, 'class': 0}]"
1756888408.874772,39,"[{'bbox': [[0.0, 68.6209716796875, 872.24951171875, 712.2208251953125]], 'confidence': 0.9553074240684509, 'class': 0}, {'bbox': [[1056.455810546875, 573.6669921875, 1145.867431640625, 717.7515869140625]], 'confidence': 0.7813303470611572, 'class': 0}]"
1756888409.077621,40,"[{'bbox': [[1.5869140625, 91.4888916015625, 837.2215576171875, 712.02001953125]], 'confidence': 0.9584327340126038, 'class': 0}, {'bbox': [[1056.046630859375, 574.8161010742188, 1146.312255859375, 718.1052856445312]], 'confidence': 0.7465457320213318, 'class': 0}, {'bbox': [[1093.626220703125, 644.1441650390625, 1161.453857421875, 719.5621337890625]], 'confidence': 0.5682971477508545, 'class': 56}]"
1756888409.2842329,41,"[{'bbox': [[7.12188720703125, 138.0914306640625, 799.8970336914062, 712.59033203125]], 'confidence': 0.8234745860099792, 'class': 0}, {'bbox': [[755.2926025390625, 601.4693603515625, 875.2161865234375, 685.4237060546875]], 'confidence': 0.7758841514587402, 'class': 62}, {'bbox': [[1056.886962890625, 574.7490234375, 1145.552490234375, 716.9620361328125]], 'confidence': 0.7612597942352295, 'class': 0}]"
1756888409.542731,42,"[{'bbox': [[98.510009765625, 220.558349609375, 743.2454833984375, 711.8257446289062]], 'confidence': 0.9388219714164734, 'class': 0}, {'bbox': [[1056.317626953125, 574.791015625, 1146.741455078125, 718.185546875]], 'confidence': 0.77777099609375, 'class': 0}, {'bbox': [[755.9346923828125, 601.7155151367188, 874.4178466796875, 686.2979125976562]], 'confidence': 0.6812956929206848, 'class': 62}, {'bbox': [[44.51785659790039, 665.5064697265625, 138.2117919921875, 718.9300537109375]], 'confidence': 0.5604824423789978, 'class': 56}, {'bbox': [[467.17803955078125, 553.1463623046875, 589.8920288085938, 609.3836669921875]], 'confidence': 0.5310502052307129, 'class': 2}, {'bbox': [[1096.708740234375, 643.8833618164062, 1160.982666015625, 720.0]], 'confidence': 0.5258058905601501, 'class': 56}, {'bbox': [[434.142333984375, 523.0122680664062, 548.0479736328125, 564.9752807617188]], 'confidence': 0.5044008493423462, 'class': 67}]"
1756888409.746782,43,"[{'bbox': [[148.82940673828125, 267.3346252441406, 738.08837890625, 711.8612060546875]], 'confidence': 0.9400344491004944, 'class': 0}, {'bbox': [[1056.938720703125, 574.84375, 1146.151611328125, 718.185791015625]], 'confidence': 0.7898597717285156, 'class': 0}, {'bbox': [[756.8621826171875, 601.7205810546875, 874.3243408203125, 686.2945556640625]], 'confidence': 0.6761122941970825, 'class': 62}, {'bbox': [[25.826446533203125, 664.193115234375, 184.36257934570312, 718.644775390625]], 'confidence': 0.550437867641449, 'class': 56}, {'bbox': [[1097.8267822265625, 643.698486328125, 1161.4232177734375, 720.0]], 'confidence': 0.5425366163253784, 'class': 56}]"
1756888409.947495,44,"[{'bbox': [[161.6846923828125, 280.9653625488281, 743.7939453125, 711.0869140625]], 'confidence': 0.9491870999336243, 'class': 0}, {'bbox': [[1057.6875, 573.9764404296875, 1146.218505859375, 717.7421875]], 'confidence': 0.7790786623954773, 'class': 0}, {'bbox': [[553.288818359375, 534.4854736328125, 643.872802734375, 580.8179931640625]], 'confidence': 0.6959247589111328, 'class': 2}, {'bbox': [[756.60205078125, 601.6025390625, 874.6885986328125, 686.147216796875]], 'confidence': 0.6426924467086792, 'class': 62}, {'bbox': [[1094.919677734375, 643.9945068359375, 1161.305419921875, 720.0]], 'confidence': 0.6190168261528015, 'class': 56}]"
1756888410.145555,45,"[{'bbox': [[173.66668701171875, 280.2994384765625, 731.3244018554688, 711.038818359375]], 'confidence': 0.9434912204742432, 'class': 0}, {'bbox': [[1058.29443359375, 574.9993896484375, 1146.67822265625, 718.3780517578125]], 'confidence': 0.7827581167221069, 'class': 0}, {'bbox': [[564.0985107421875, 534.9490356445312, 681.1986083984375, 578.0681762695312]], 'confidence': 0.588950514793396, 'class': 2}, {'bbox': [[755.0982666015625, 601.119384765625, 876.1224365234375, 686.908935546875]], 'confidence': 0.5644833445549011, 'class': 62}, {'bbox': [[1096.7666015625, 644.0128173828125, 1162.0712890625, 719.7977294921875]], 'confidence': 0.5077657699584961, 'class': 56}]"
1756888410.3457012,46,"[{'bbox': [[169.62738037109375, 271.9200439453125, 733.2465209960938, 710.6358642578125]], 'confidence': 0.9408453106880188, 'class': 0}, {'bbox': [[1058.585693359375, 574.4971923828125, 1147.613037109375, 719.1134033203125]], 'confidence': 0.7687256336212158, 'class': 0}, {'bbox': [[755.7081298828125, 601.724853515625, 875.0211181640625, 685.766357421875]], 'confidence': 0.708042562007904, 'class': 62}]"
1756888410.545523,47,"[{'bbox': [[162.1900634765625, 264.2220458984375, 728.1319580078125, 710.93896484375]], 'confidence': 0.9437223076820374, 'class': 0}, {'bbox': [[1059.2852783203125, 574.7816162109375, 1147.1947021484375, 719.1466064453125]], 'confidence': 0.7880437970161438, 'class': 0}, {'bbox': [[755.5624389648438, 601.7901000976562, 875.3469848632812, 686.3015747070312]], 'confidence': 0.6987966895103455, 'class': 62}, {'bbox': [[1100.5606689453125, 643.4586181640625, 1161.5692138671875, 719.8275146484375]], 'confidence': 0.5218073725700378, 'class': 56}]"
1756888410.7400389,48,"[{'bbox': [[155.8487548828125, 256.75762939453125, 727.515869140625, 710.6454467773438]], 'confidence': 0.9362486600875854, 'class': 0}, {'bbox': [[1057.822021484375, 575.2120971679688, 1146.065673828125, 716.7367553710938]], 'confidence': 0.7945082783699036, 'class': 0}, {'bbox': [[755.3387451171875, 601.782958984375, 875.0616455078125, 685.89013671875]], 'confidence': 0.7197008728981018, 'class': 62}, {'bbox': [[1092.475341796875, 644.7000732421875, 1162.029541015625, 719.6224365234375]], 'confidence': 0.5135521292686462, 'class': 56}]"
1756888410.948472,50,"[{'bbox': [[155.1778564453125, 250.1590576171875, 749.931640625, 712.048095703125]], 'confidence': 0.9227275848388672, 'class': 0}, {'bbox': [[1057.232421875, 574.9427490234375, 1145.84716796875, 718.3856201171875]], 'confidence': 0.7953097820281982, 'class': 0}, {'bbox': [[513.7943115234375, 398.8494873046875, 645.582275390625, 475.3646240234375]], 'confidence': 0.7414777874946594, 'class': 2}, {'bbox': [[755.69384765625, 601.5430908203125, 875.119873046875, 685.4263916015625]], 'confidence': 0.6702349185943604, 'class': 62}]"
1756888411.176666,51,"[{'bbox': [[167.97705078125, 235.94775390625, 786.7830810546875, 711.5308837890625]], 'confidence': 0.9348694682121277, 'class': 0}, {'bbox': [[1057.965576171875, 574.69091796875, 1146.761474609375, 718.366455078125]], 'confidence': 0.7762300372123718, 'class': 0}, {'bbox': [[506.3548278808594, 437.9420166015625, 678.1380615234375, 523.7224731445312]], 'confidence': 0.5464997887611389, 'class': 2}, {'bbox': [[1098.38671875, 644.4837646484375, 1162.1201171875, 719.6837158203125]], 'confidence': 0.5121147632598877, 'class': 56}]"
1756888411.37853,52,"[{'bbox': [[175.712646484375, 219.66949462890625, 812.8048095703125, 711.0362548828125]], 'confidence': 0.9368619918823242, 'class': 0}, {'bbox': [[494.246826171875, 436.91259765625, 685.619873046875, 529.8762817382812]], 'confidence': 0.8066721558570862, 'class': 2}, {'bbox': [[1059.0650634765625, 574.9253540039062, 1146.1146240234375, 717.4381713867188]], 'confidence': 0.7708297967910767, 'class': 0}]"
1756888411.617547,53,"[{'bbox': [[185.1846923828125, 204.3942413330078, 830.3875732421875, 711.3480834960938]], 'confidence': 0.9398520588874817, 'class': 0}, {'bbox': [[1059.626220703125, 574.9388427734375, 1147.269775390625, 718.0250244140625]], 'confidence': 0.778265655040741, 'class': 0}]"
1756888411.841535,55,"[{'bbox': [[198.2554931640625, 195.76849365234375, 848.3538818359375, 711.054931640625]], 'confidence': 0.9180622100830078, 'class': 0}, {'bbox': [[1059.4775390625, 575.236328125, 1146.1640625, 716.925537109375]], 'confidence': 0.8048486709594727, 'class': 0}, {'bbox': [[510.00732421875, 392.8251953125, 722.0294189453125, 558.9306640625]], 'confidence': 0.7513878345489502, 'class': 2}, {'bbox': [[1104.0185546875, 644.776123046875, 1162.01611328125, 719.339111328125]], 'confidence': 0.5442121624946594, 'class': 56}]"
1756888412.040191,56,"[{'bbox': [[198.6824951171875, 195.30218505859375, 847.6810302734375, 710.046142578125]], 'confidence': 0.9226590991020203, 'class': 0}, {'bbox': [[518.7252197265625, 464.2647705078125, 728.4678955078125, 579.7100830078125]], 'confidence': 0.8241767883300781, 'class': 2}, {'bbox': [[1059.8785400390625, 575.739013671875, 1149.2218017578125, 717.799072265625]], 'confidence': 0.7603489756584167, 'class': 0}]"
1756888412.2411468,57,"[{'bbox': [[197.75653076171875, 196.650390625, 843.7461547851562, 709.7655029296875]], 'confidence': 0.9311498403549194, 'class': 0}, {'bbox': [[505.07855224609375, 472.00213623046875, 725.8894653320312, 583.6957397460938]], 'confidence': 0.8322399854660034, 'class': 2}, {'bbox': [[1060.080078125, 575.28955078125, 1147.20947265625, 718.22119140625]], 'confidence': 0.7692499756813049, 'class': 0}]"
1756888412.445581,58,"[{'bbox': [[195.63504028320312, 196.755859375, 839.414794921875, 711.6654052734375]], 'confidence': 0.932373046875, 'class': 0}, {'bbox': [[1060.23876953125, 575.2509155273438, 1148.5185546875, 718.9872436523438]], 'confidence': 0.7642515301704407, 'class': 0}]"
1756888412.6400661,59,"[{'bbox': [[197.5389404296875, 197.997802734375, 838.760498046875, 711.5538330078125]], 'confidence': 0.9278351664543152, 'class': 0}, {'bbox': [[488.576171875, 441.965576171875, 723.32470703125, 538.401611328125]], 'confidence': 0.817976713180542, 'class': 2}, {'bbox': [[1059.7548828125, 575.1295166015625, 1147.02099609375, 717.5299072265625]], 'confidence': 0.7388233542442322, 'class': 0}, {'bbox': [[1085.1043701171875, 641.12744140625, 1161.7266845703125, 719.7386474609375]], 'confidence': 0.5281945466995239, 'class': 56}]"
1756888412.837049,60,"[{'bbox': [[198.28564453125, 198.93988037109375, 838.5211181640625, 711.0299682617188]], 'confidence': 0.9310712218284607, 'class': 0}, {'bbox': [[482.76318359375, 465.430908203125, 717.6253662109375, 563.5723876953125]], 'confidence': 0.8688342571258545, 'class': 2}, {'bbox': [[1059.994384765625, 574.715576171875, 1147.1123046875, 718.050537109375]], 'confidence': 0.7507643103599548, 'class': 0}, {'bbox': [[1088.790283203125, 644.4092407226562, 1162.315185546875, 719.7555541992188]], 'confidence': 0.5361441373825073, 'class': 56}]"
1756888413.0435278,61,"[{'bbox': [[196.0201416015625, 198.18316650390625, 837.951171875, 710.6661376953125]], 'confidence': 0.9353588819503784, 'class': 0}, {'bbox': [[488.10211181640625, 460.72784423828125, 721.0005493164062, 558.9686889648438]], 'confidence': 0.8921866416931152, 'class': 2}, {'bbox': [[1059.6915283203125, 574.9994506835938, 1147.5303955078125, 717.8086547851562]], 'confidence': 0.7760943174362183, 'class': 0}, {'bbox': [[1090.090576171875, 643.9388427734375, 1162.584228515625, 719.7493896484375]], 'confidence': 0.618975818157196, 'class': 56}]"
1756888413.241962,62,"[{'bbox': [[199.38092041015625, 200.146484375, 841.4159545898438, 710.3850708007812]], 'confidence': 0.9383107423782349, 'class': 0}, {'bbox': [[520.6707153320312, 499.1910400390625, 740.2295532226562, 596.2945556640625]], 'confidence': 0.815389096736908, 'class': 2}, {'bbox': [[1060.22900390625, 574.932373046875, 1147.37646484375, 718.8424072265625]], 'confidence': 0.7795893549919128, 'class': 0}, {'bbox': [[1092.849609375, 643.219482421875, 1161.37451171875, 719.72705078125]], 'confidence': 0.5283650159835815, 'class': 56}]"
1756888413.444843,63,"[{'bbox': [[198.01223754882812, 198.58184814453125, 839.077880859375, 711.5736083984375]], 'confidence': 0.9174336791038513, 'class': 0}, {'bbox': [[539.6412353515625, 535.605712890625, 741.3309326171875, 632.691162109375]], 'confidence': 0.8110279440879822, 'class': 2}, {'bbox': [[1060.718505859375, 574.8399658203125, 1148.126220703125, 719.0989990234375]], 'confidence': 0.7801402807235718, 'class': 0}]"
1756888413.688771,64,"[{'bbox': [[187.62612915039062, 192.7918701171875, 854.4991455078125, 710.9691162109375]], 'confidence': 0.9253104329109192, 'class': 0}, {'bbox': [[512.8084716796875, 514.5257568359375, 710.6519775390625, 598.9873046875]], 'confidence': 0.7932786345481873, 'class': 2}, {'bbox': [[1061.0487060546875, 575.12060546875, 1147.5863037109375, 718.8857421875]], 'confidence': 0.7799758315086365, 'class': 0}, {'bbox': [[1099.67529296875, 644.9505615234375, 1162.85986328125, 719.3963623046875]], 'confidence': 0.6186358332633972, 'class': 56}]"
