timestamp,count,bicycle,car,motorcycle,bus,train,truck,total_detections
1756891340.869845,0,0,3,0,2,0,0,5
1756891341.2397718,0,0,3,0,2,0,0,5
1756891341.4520938,0,0,2,0,2,0,0,4
1756891341.6746671,0,0,2,0,2,0,0,4
1756891341.917644,0,0,2,0,2,0,0,4
1756891342.1350882,0,0,3,1,2,0,0,6
1756891342.479386,0,0,2,0,2,0,0,4
1756891342.694109,0,0,2,1,2,0,0,5
1756891342.911867,0,0,2,2,2,0,0,6
1756891343.1157382,0,0,2,2,2,0,0,6
1756891343.3481548,0,0,3,1,2,0,0,6
1756891343.6405802,0,0,4,0,2,0,0,6
1756891343.8808472,0,0,4,0,2,0,0,6
1756891344.117331,0,0,2,2,2,0,0,6
1756891344.345815,0,0,3,1,2,0,0,6
1756891344.655905,0,0,3,1,2,0,0,6
1756891344.884974,0,0,3,1,2,0,0,6
1756891345.111012,0,0,4,3,2,0,0,9
1756891345.352521,0,0,3,1,2,0,0,6
1756891345.5709598,0,0,3,1,2,0,0,6
1756891345.7901912,0,0,3,0,2,0,0,5
1756891346.0098681,0,0,3,1,2,0,0,6
1756891346.22809,0,0,4,1,2,0,0,7
1756891346.456584,0,0,5,1,2,0,0,8
1756891346.751746,0,0,5,1,2,0,0,8
1756891346.972759,0,0,5,3,2,0,0,10
1756891347.195756,0,0,5,1,2,0,0,8
1756891347.4152389,0,0,5,1,2,0,0,8
1756891347.637107,0,0,5,2,2,0,0,9
1756891347.868614,0,0,5,2,2,0,0,9
1756891348.092872,0,0,5,2,2,0,0,9
1756891348.369909,0,0,6,2,2,0,0,10
1756891348.6513002,0,0,6,2,2,0,0,10
1756891348.877205,0,0,5,3,2,0,0,10
1756891349.106946,0,0,5,4,2,0,0,11
1756891349.323671,0,0,6,3,2,0,0,11
1756891349.553109,0,0,5,1,2,0,0,8
1756891349.770581,0,0,5,1,2,0,0,8
1756891349.9897091,0,0,5,3,2,0,0,10
1756891350.2248309,0,0,6,2,2,0,0,10
1756891350.466342,0,0,6,2,2,0,0,10
1756891350.748373,0,0,5,2,2,0,0,9
1756891350.977129,0,0,6,2,2,0,0,10
1756891351.199064,0,0,5,2,2,0,0,9
1756891351.42011,0,0,5,3,2,0,0,10
1756891351.638857,0,0,4,3,2,0,0,9
1756891351.863528,1,0,4,3,2,0,0,9
1756891352.088257,2,0,4,3,2,0,0,9
1756891352.306747,3,0,6,3,2,0,0,11
1756891352.536675,4,0,4,3,2,0,0,9
1756891352.8355231,5,0,4,3,2,0,0,9
1756891353.159181,6,0,4,3,2,0,0,9
1756891353.3782442,7,0,4,3,2,0,0,9
1756891353.601952,8,0,5,3,1,0,0,9
1756891353.823812,10,0,7,4,1,0,0,12
1756891354.0887098,12,0,4,4,1,0,0,9
1756891354.344286,14,0,5,4,4,0,0,13
1756891354.569865,16,0,5,3,2,0,0,10
1756891354.810127,19,0,5,3,2,0,0,10
1756891355.108334,22,0,5,3,2,0,0,10
1756891355.3226812,24,0,5,3,2,0,0,10
1756891355.546216,26,0,6,4,2,0,0,12
1756891355.765035,27,0,5,4,1,0,0,10
1756891355.997729,27,0,4,2,2,0,0,8
1756891356.218105,28,0,4,4,1,0,0,9
1756891356.438496,29,0,6,3,2,0,0,11
1756891356.662123,30,0,5,3,2,0,0,10
1756891356.8835251,31,0,5,4,2,0,0,11
1756891357.173134,32,0,3,4,1,0,0,8
1756891357.390579,33,0,3,4,1,0,0,8
1756891357.621427,34,0,4,4,1,0,0,9
1756891357.8406432,34,0,3,3,1,0,0,7
1756891358.066664,34,0,4,4,1,0,0,9
1756891358.2857249,34,0,5,3,1,0,0,9
1756891358.5064409,34,0,4,4,1,0,0,9
1756891358.722399,34,0,3,4,1,0,0,8
1756891358.947119,34,0,3,4,2,0,0,9
1756891359.282222,34,0,3,3,2,0,0,8
1756891359.503818,34,0,3,4,2,0,0,9
1756891359.7203252,34,0,3,4,1,0,0,8
1756891359.943029,34,0,4,3,1,0,0,8
1756891360.1658082,34,0,4,3,1,0,0,8
1756891360.393322,34,0,4,3,1,0,0,8
1756891360.614475,35,0,5,4,1,0,0,10
1756891360.871861,36,0,4,4,1,0,0,9
1756891361.154243,37,0,4,4,1,0,0,9
1756891361.5052211,38,0,4,4,2,0,0,10
1756891361.724438,39,0,4,4,1,0,0,9
1756891361.95606,40,0,4,4,1,0,0,9
1756891362.179355,41,0,4,4,1,0,0,9
1756891362.399085,42,0,5,4,1,0,0,10
1756891362.639178,43,0,5,4,1,0,0,10
1756891362.859922,44,0,6,4,1,0,0,11
1756891363.0910459,45,0,6,5,2,0,0,13
1756891363.31879,46,0,6,6,1,0,0,13
1756891363.6088169,47,0,6,6,2,0,0,14
1756891363.827923,48,0,7,6,2,0,0,15
1756891364.124728,49,0,6,6,2,0,0,14
1756891364.348516,50,0,5,5,2,0,0,12
1756891364.5748868,51,0,5,5,2,0,0,12
1756891364.794162,52,0,10,6,8,0,0,24
1756891365.02438,53,0,5,8,3,0,0,16
1756891365.254787,54,0,6,6,2,0,0,14
1756891365.549799,55,0,5,6,1,0,0,12
1756891365.765354,56,0,4,6,1,0,0,11
1756891366.006756,57,0,4,7,1,0,0,12
1756891366.2409558,58,0,4,7,1,0,0,12
1756891366.461826,59,0,4,7,1,0,0,12
1756891366.685411,60,0,5,7,1,0,0,13
1756891366.911068,61,0,5,7,1,0,0,13
1756891367.132493,62,0,5,7,1,0,0,13
1756891367.356739,63,0,5,7,1,0,0,13
1756891367.657034,64,0,4,7,1,0,0,12
1756891367.873893,64,0,4,5,1,0,0,10
1756891368.098152,64,0,4,6,1,0,0,11
1756891368.327486,64,0,4,6,1,0,0,11
